bestObjID,class,z,dered_u,dered_g,dered_r,dered_i,dered_z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z
1237663529720939177,QSO,1.66157,22.45155,21.27193,21.23611,20.51441,20.6593,0.3280478,0.04699202,0.07622685,0.05489904,0.2224377
1237661852544860410,QSO,1.744548,21.3616,21.04511,21.03497,20.65072,20.29583,0.1369371,0.04053419,0.05371946,0.05323463,0.1442088
1237658802043748541,GALAXY,0.2654516,23.84555,21.75183,21.38087,21.25664,20.85628,0.9535263,0.06613059,0.06594639,0.07719041,0.2262695
1237663543138254997,STAR,2.77048e-05,17.994,17.1154,16.76871,16.63559,16.56099,0.01453062,0.005042963,0.005569895,0.005878024,0.009982784
1237662504303133000,GALAXY,0.08077256,20.46439,18.48116,17.63729,17.22872,16.95949,0.1064188,0.009377502,0.006768886,0.006681553,0.01788099
1237653653454848189,GALAXY,0.1526295,19.75625,18.12649,17.0885,16.60071,16.27777,0.08280364,0.009411234,0.005872672,0.005681037,0.01289915
1237660240313516584,GALAXY,0.5435961,25.81568,22.58054,20.79603,19.6481,19.06906,0.5688342,0.1809758,0.05512682,0.02789759,0.06175634
1237663784202535527,GALAXY,0.5509614,23.95399,22.5634,20.92903,20.04475,19.67206,0.6686265,0.1206812,0.04235701,0.02851263,0.08091263
1237669768161722703,GALAXY,0.4815032,25.86827,22.50412,20.87813,19.95927,19.70045,0.5667972,0.1734434,0.0605282,0.04119812,0.1101687
1237661433775456862,STAR,-0.0002206724,22.90228,20.8267,19.82622,19.40378,19.2961,0.3190164,0.02576469,0.01826084,0.01724986,0.04573071
1237660636524183677,STAR,-0.000238778,19.62183,17.758,17.03476,16.78865,16.63866,0.0340222,0.005560948,0.004679705,0.0050352,0.009499682
1237671141480006754,GALAXY,0.4404142,23.57937,21.16316,19.45765,18.725,18.31477,0.8780669,0.05494453,0.02052053,0.01511383,0.03865623
1237651496827355532,GALAXY,0.413807,22.92134,21.70724,20.16016,19.39343,18.53746,1.426431,0.2450619,0.0867972,0.06047747,0.09828229
1237654654175805974,GALAXY,0.4255993,26.08709,21.82347,20.12797,19.33063,19.06674,0.8623152,0.1460864,0.04679913,0.03550788,0.1009005
1237680444908242834,GALAXY,0.6393965,24.78491,22.54457,21.09094,19.73776,19.3287,1.665408,0.2426885,0.09538564,0.04800398,0.1091763
1237662194532810893,GALAXY,0.2868819,23.46671,19.90675,18.33585,17.79263,17.43416,1.157832,0.02704761,0.01124842,0.00981814,0.02570567
1237667734508863668,GALAXY,0.1411057,19.92539,18.04069,16.99434,16.58426,16.24305,0.06683175,0.007780335,0.005250598,0.005074192,0.01015979
1237661388146016629,QSO,2.206816,21.13245,20.52705,20.46919,20.36554,19.91277,0.08013638,0.02457701,0.02788273,0.03676159,0.07681976
1237667252927856829,GALAXY,0.06050999,18.45183,17.17783,16.59975,16.25148,16.01095,0.02456619,0.005221814,0.004517764,0.004727392,0.0110918
1237663782590414995,GALAXY,0.00681352,20.75636,20.57909,20.72535,21.37026,20.80964,0.06695842,0.02896322,0.0404238,0.09750652,0.201173
1237665584863183137,QSO,1.629336,19.66959,19.37285,19.37113,19.19561,19.309,0.03811177,0.01179528,0.01418663,0.01786471,0.05912896
1237665179525382377,GALAXY,0.2875357,22.64525,19.82288,18.24199,17.6832,17.33847,0.5841559,0.02184156,0.009647047,0.008592048,0.02162216
1237678620102493006,GALAXY,1.006256,22.93696,22.26601,21.81749,21.58427,21.1593,0.7374207,0.1450355,0.1389518,0.1738723,0.4223303
1237655129848021800,STAR,-0.0006064152,20.37899,19.44687,19.19527,19.0596,19.09014,0.0503956,0.01207506,0.01279804,0.01457526,0.05104505
1237678919672922215,QSO,1.64784,19.04507,18.95345,18.82781,18.59732,18.5291,0.0323002,0.01026527,0.01153185,0.01182366,0.03417886
