model,mag_bin,n_true_qso,raw_promised_purity,raw_achieved_purity,raw_completeness,raw_n_selected,rep_temperature_promised_purity,rep_temperature_achieved_purity,rep_temperature_completeness,rep_temperature_n_selected,bright_temperature_promised_purity,bright_temperature_achieved_purity,bright_temperature_completeness,bright_temperature_n_selected,seed
RandomForest,"[18,19)",1566,0.9827701189433213,0.9917695473251029,0.7694763729246488,1215,0.9846904842892447,0.9886455798864558,0.7784163473818646,1233,0.9872181846214007,0.9874509803921568,0.8039591315453385,1275,14
RandomForest,"[19,20)",4041,0.9835850795423198,0.9921363040629095,0.7493194753773819,3052,0.9853150619173355,0.9912931312479846,0.7607027963375402,3101,0.988552943422652,0.988647114474929,0.7757980697847068,3171,14
RandomForest,"[20,22)",13156,0.9637751522688212,0.965962947005601,0.5112496199452721,6963,0.9660778700755454,0.961820652173913,0.5380814837336576,7360,0.9701523986384206,0.9550824513905981,0.5899209486166008,8126,14
HistGB,"[14,17)",80,0.9516792076747235,0.9230769230769231,0.3,26,0.9532016281367055,0.9230769230769231,0.3,26,0.9594001100901194,0.9230769230769231,0.3,26,14
HistGB,"[17,18)",345,0.9728139569066716,0.9824561403508771,0.6492753623188405,228,0.9734757728420067,0.982532751091703,0.6521739130434783,229,0.9765034972209585,0.9827586206896551,0.6608695652173913,232,14
HistGB,"[18,19)",1566,0.9856584881886609,0.9859265050820953,0.8052362707535121,1279,0.9861011321635024,0.9859484777517564,0.8065134099616859,1281,0.9875449037798727,0.9860896445131375,0.8148148148148148,1294,14
HistGB,"[19,20)",4041,0.9836291827129671,0.9916398713826367,0.7631774313288789,3110,0.9841550669143507,0.9913294797687862,0.7639198218262806,3114,0.9857771032818106,0.9904731660844712,0.7718386537985648,3149,14
HistGB,"[20,22)",13156,0.9630994016457105,0.9632699728455052,0.5123137731833384,6997,0.9635510681960756,0.9628531073446328,0.518166615992703,7080,0.965394884015909,0.9596665770368379,0.5425661295226513,7438,14
MLP,"[14,17)",80,0.9779482147415486,0.9210526315789473,0.4375,38,0.9742879542018961,0.9210526315789473,0.4375,38,0.9766763443907551,0.9444444444444444,0.425,36,14
MLP,"[17,18)",345,0.9873663696239185,0.984375,0.7304347826086957,256,0.9863955094646807,0.9841269841269841,0.7188405797101449,252,0.9856224120576529,0.9840637450199203,0.7159420289855073,251,14
MLP,"[18,19)",1566,0.9905695974129342,0.987887963663891,0.8333333333333334,1321,0.9890405004269707,0.9886104783599089,0.8314176245210728,1317,0.9884665822998515,0.9885670731707317,0.8282247765006385,1312,14
MLP,"[19,20)",4041,0.9882761495139835,0.9914853358561968,0.7780252412769116,3171,0.986969003800365,0.9923639834552975,0.7718386537985648,3143,0.9865146668415176,0.992632927610506,0.7668893838158871,3122,14
MLP,"[20,22)",13156,0.9673848072045806,0.960536805740101,0.549483125570082,7526,0.965965979096135,0.9639312176709073,0.5240954697476436,7153,0.9654211560833565,0.964834218458447,0.5109455761629674,6967,14
LogReg,"[14,17)",87,0.9253243355272078,0.0,0.0,1,0.9244897750747142,0.0,0.0,1,0.9544020879309668,0.0,0.0,2,15
LogReg,"[17,18)",311,0.9843864527296068,0.2,0.003215434083601286,5,0.9841598698493261,0.2,0.003215434083601286,5,0.9575611584380338,0.1111111111111111,0.003215434083601286,9,15
LogReg,"[18,19)",1594,0.9283736690054569,0.0,0.0,5,0.9275696326773168,0.0,0.0,5,0.9341234237924075,0.0,0.0,31,15
LogReg,"[19,20)",3919,0.9224187009156104,0.09375,0.0007655014034192396,32,0.9214975038516822,0.09375,0.0007655014034192396,32,0.9405317714405689,0.13178294573643412,0.004337841286042358,129,15
LogReg,"[20,22)",13276,0.9226571185753608,0.7939352170916609,0.0867731244350708,1451,0.9224403269655826,0.7901498929336188,0.08338354926182585,1401,0.9413161198707146,0.8449295774647887,0.45186803253992164,7100,15
RandomForest,"[14,17)",87,0.9537707513176364,1.0,0.19540229885057472,17,0.9517972077514532,1.0,0.22988505747126436,20,0.954333897090176,1.0,0.27586206896551724,24,15
RandomForest,"[17,18)",311,0.9665314911278274,0.9880952380952381,0.5337620578778135,168,0.9690784406214739,0.9885057471264368,0.5530546623794212,174,0.9725259140050679,0.9838709677419355,0.5884244372990354,186,15
RandomForest,"[18,19)",1594,0.9824471452662191,0.9887640449438202,0.7728983688833124,1246,0.9844587127551074,0.9888712241653418,0.7804265997490589,1258,0.9867681626316152,0.9868114817688131,0.7979924717691342,1289,15
RandomForest,"[19,20)",3919,0.9836208839044578,0.9904448105436573,0.767032406226078,3035,0.9853185844219126,0.9895765472312703,0.7751977545292167,3070,0.9878233757368822,0.9878516624040921,0.7884664455218168,3128,15
RandomForest,"[20,22)",13276,0.9629736855352478,0.9636746143057503,0.517550467008135,7130,0.9650118518733449,0.96034183469088,0.5417294365772823,7489,0.9684868544951251,0.9550561797752809,0.5826303103344381,8099,15
HistGB,"[14,17)",87,0.9565307945440661,0.9117647058823529,0.3563218390804598,34,0.9571664604846213,0.9117647058823529,0.3563218390804598,34,0.9600358183028049,0.9117647058823529,0.3563218390804598,34,15
HistGB,"[17,18)",311,0.9692412516515431,0.9747474747474747,0.6205787781350482,198,0.9697490717029981,0.9747474747474747,0.6205787781350482,198,0.971679414691992,0.9748743718592965,0.6237942122186495,199,15
HistGB,"[18,19)",1594,0.9857403126829679,0.9868522815158546,0.8005018820577164,1293,0.9859370539150993,0.9868624420401855,0.801129234629862,1294,0.986718522442382,0.9869230769230769,0.8048933500627352,1300,15
