model,accuracy,ECE,ECE10,ECE_quantile,MCE,Brier,NLL,seed
LogReg,0.8111781117811178,0.07810143262329824,0.07810143262329827,0.07917752416901634,0.15888252250808999,0.31029179705895926,0.5528455640515829,12
RandomForest,0.925839258392584,0.006162100487371569,0.006195274891838788,0.006370793726187561,0.0848535153172828,0.11244401707604021,0.20976031528202638,12
HistGB,0.925139251392514,0.0010998804121228685,0.0008451859847527002,0.0019815261105214747,0.04695923528723894,0.11318745209167536,0.2106380943953922,12
MLP,0.926889268892689,0.002100738118893672,0.0015945991577265169,0.0021809274716025127,0.026367245226238234,0.11071161526406662,0.20521853280163765,12
LogReg,0.8105981059810599,0.07629062201884806,0.07629062201884804,0.07773020269781086,0.15544781976162358,0.3104942096903882,0.5520754510798798,13
RandomForest,0.9251892518925189,0.005796327207828365,0.00577145395873228,0.005771453958732277,0.022136683012778158,0.1130148636275805,0.21084860574640532,13
HistGB,0.9241992419924199,0.002473666766915635,0.001615331677923231,0.0021379676140917637,0.07012738801347063,0.1135976486975271,0.21154697351427956,13
MLP,0.9266492664926649,0.0022840935410642143,0.0020357971411071245,0.001834997834077869,0.0883586493445443,0.11088417632927891,0.20632700501399948,13
LogReg,0.8131681316813169,0.07728117810755981,0.07728117810755974,0.07861015201958894,0.17429818139950964,0.3078638361313846,0.54686484527756,14
RandomForest,0.925489254892549,0.0062040882179778024,0.005941788510840863,0.005463909956862585,0.10059452445322453,0.11174109928211587,0.20792324679884489,14
HistGB,0.9250292502925029,0.0029288721832497378,0.002493526754249212,0.002438458885230023,0.062461200809661666,0.11215760911184108,0.20788267030970647,14
MLP,0.9261192611926119,0.003156265951713676,0.003042319622540506,0.0031342325814078956,0.1608128812631997,0.11068884181045927,0.2045003431315481,14
LogReg,0.8122381223812238,0.07765928843411987,0.07765928843411984,0.07916272895014889,0.1714660996062184,0.30960047910210897,0.5508043213188384,15
RandomForest,0.925339253392534,0.005077643965160196,0.005077643965160317,0.005007810300626562,0.03714519478568873,0.1124676963054491,0.20983163124447707,15
HistGB,0.9243392433924339,0.0029210809378099624,0.002486457542913008,0.0029965051399901445,0.04105146287483563,0.11309617697537704,0.20983742282567316,15
MLP,0.9256792567925679,0.004321305712106335,0.0041152929356413105,0.0038679118351177357,0.11603472424408434,0.11222703855054596,0.2079696711920666,15
LogReg,0.8100181001810018,0.07627897222410789,0.0762789722241078,0.07766427112786756,0.15439168808496628,0.3109375088640733,0.5527471719859961,16
RandomForest,0.9258892588925889,0.0065002621750853105,0.006500262175085151,0.006480708314014153,0.024668472666077412,0.11204052419506659,0.20787024648528848,16
HistGB,0.9244892448924489,0.003134492755864008,0.0029026235740017775,0.002492265836385241,0.06874401420877119,0.11384883868966401,0.21150033244588767,16
MLP,0.9265492654926549,0.003052760068587938,0.0029977627937399303,0.0028384274747929265,0.09607405154760484,0.11003837966772552,0.20416608584804508,16
LogReg,0.8098780987809878,0.07831341640741099,0.07831341640741106,0.07969953756392927,0.15928797289927937,0.31178997582878654,0.5549378789373693,17
RandomForest,0.9244792447924479,0.003837281623642117,0.00413891075840833,0.0038233388121877323,0.03494761979891242,0.1135499294765754,0.21016006490304184,17
HistGB,0.9234392343923439,0.0028480437414804298,0.0023454548846982273,0.0033563258990441935,0.036483588498144814,0.1143679469306219,0.21147614292143446,17
MLP,0.925809258092581,0.005533666166350493,0.005318548186030196,0.005356089742880736,0.07852631103334395,0.11174158508416074,0.20666895416667055,17
LogReg,0.8087280872808728,0.0747892360945395,0.07478923609453957,0.07681031909245535,0.15252861999983652,0.3115521485499311,0.5535232620054961,18
RandomForest,0.9243692436924369,0.004910565943070235,0.004911628624883444,0.004550360191418246,0.04263484225799302,0.11279354670409557,0.20925108652835744,18
HistGB,0.9248392483924839,0.002727151122464827,0.0026981174319624154,0.0026177771478253157,0.1329421416957276,0.11300931823131369,0.20913660788122507,18
MLP,0.926019260192602,0.0024376190655307334,0.002242103645462323,0.0032198081323002318,0.04305160511969397,0.11081059517975438,0.2056535019898739,18
LogReg,0.8103881038810388,0.07708149924965234,0.07708149924965232,0.07827508853673097,0.16138544199324678,0.31127973020554023,0.554077316925945,19
RandomForest,0.925079250792508,0.0053001785227542175,0.005279986620894921,0.005253672486569026,0.1026415999723524,0.11317127471328155,0.21130327601791113,19
HistGB,0.9239292392923929,0.0024183102490239246,0.0024183102490239906,0.0033120138485072527,0.04402483647886768,0.11387561363384592,0.21222605280493467,19
MLP,0.926389263892639,0.005028244784525954,0.004910958102526329,0.0048881311899291145,0.06445247102188645,0.11135607681875916,0.20732816597092033,19
